21:35:05.761 -> Temperature: 29.50 °C, Humidity: 81.00 %
21:35:07.778 -> Temperature: 29.80 °C, Humidity: 80.00 %
21:35:13.874 -> Temperature: nan °C, Humidity: nan %
21:35:16.829 -> Temperature: nan °C, Humidity: nan %
21:35:18.846 -> Temperature: nan °C, Humidity: nan %
21:35:20.862 -> Temperature: 30.20 °C, Humidity: 78.00 %
21:35:22.925 -> Temperature: 30.80 °C, Humidity: 78.00 %
21:35:24.942 -> Temperature: 30.80 °C, Humidity: 77.00 %
21:35:26.958 -> Temperature: 30.80 °C, Humidity: 76.00 %
21:35:28.975 -> Temperature: 30.80 °C, Humidity: 75.00 %
21:35:30.990 -> Temperature: 30.80 °C, Humidity: 75.00 %
21:35:33.052 -> Temperature: 30.80 °C, Humidity: 74.00 %
21:35:35.069 -> Temperature: 30.80 °C, Humidity: 73.00 %
21:35:37.085 -> Temperature: 30.80 °C, Humidity: 72.00 %
21:35:39.102 -> Temperature: 30.80 °C, Humidity: 71.00 %
21:35:41.119 -> Temperature: 30.80 °C, Humidity: 71.00 %
21:35:43.135 -> Temperature: 30.80 °C, Humidity: 71.00 %
21:35:45.199 -> Temperature: 30.80 °C, Humidity: 70.00 %
21:35:47.215 -> Temperature: 30.80 °C, Humidity: 70.00 %
21:35:49.231 -> Temperature: 30.80 °C, Humidity: 69.00 %
21:35:51.247 -> Temperature: 30.80 °C, Humidity: 68.00 %
21:35:53.263 -> Temperature: 30.80 °C, Humidity: 67.00 %
21:35:55.328 -> Temperature: 30.80 °C, Humidity: 67.00 %
21:35:57.344 -> Temperature: 30.80 °C, Humidity: 67.00 %
21:35:59.360 -> Temperature: 30.80 °C, Humidity: 66.00 %
21:36:01.376 -> Temperature: 30.20 °C, Humidity: 65.00 %
21:36:03.392 -> Temperature: 30.20 °C, Humidity: 65.00 %
21:36:05.456 -> Temperature: 30.20 °C, Humidity: 64.00 %
21:36:07.472 -> Temperature: 30.20 °C, Humidity: 63.00 %
21:36:09.488 -> Temperature: 30.20 °C, Humidity: 63.00 %
21:36:11.504 -> Temperature: 29.90 °C, Humidity: 63.00 %
21:36:13.521 -> Temperature: 29.80 °C, Humidity: 63.00 %
21:36:15.585 -> Temperature: 29.80 °C, Humidity: 63.00 %
21:36:17.601 -> Temperature: 29.80 °C, Humidity: 63.00 %
21:36:19.619 -> Temperature: 29.80 °C, Humidity: 62.00 %
21:36:21.635 -> Temperature: 29.30 °C, Humidity: 62.00 %
21:36:23.651 -> Temperature: 29.30 °C, Humidity: 62.00 %
21:36:25.714 -> Temperature: 29.30 °C, Humidity: 62.00 %
21:36:27.729 -> Temperature: 29.30 °C, Humidity: 61.00 %
21:36:29.746 -> Temperature: 29.30 °C, Humidity: 61.00 %
21:36:31.762 -> Temperature: 28.90 °C, Humidity: 61.00 %
21:36:33.779 -> Temperature: 28.90 °C, Humidity: 61.00 %
21:36:35.842 -> Temperature: 28.90 °C, Humidity: 61.00 %
21:36:37.859 -> Temperature: 28.90 °C, Humidity: 61.00 %
21:36:39.876 -> Temperature: 28.50 °C, Humidity: 61.00 %
21:36:41.892 -> Temperature: 28.50 °C, Humidity: 61.00 %
21:36:43.909 -> Temperature: 28.50 °C, Humidity: 61.00 %
21:36:45.973 -> Temperature: 28.50 °C, Humidity: 60.00 %
21:36:47.990 -> Temperature: 28.10 °C, Humidity: 60.00 %
21:36:50.006 -> Temperature: 28.00 °C, Humidity: 60.00 %
21:36:52.023 -> Temperature: 28.00 °C, Humidity: 60.00 %
21:36:54.039 -> Temperature: 28.00 °C, Humidity: 60.00 %
21:36:56.055 -> Temperature: 28.00 °C, Humidity: 61.00 %
21:36:58.119 -> Temperature: 27.60 °C, Humidity: 62.00 %
21:37:00.138 -> Temperature: 27.60 °C, Humidity: 62.00 %
21:37:02.155 -> Temperature: 27.60 °C, Humidity: 62.00 %
21:37:04.171 -> Temperature: 27.60 °C, Humidity: 62.00 %
21:37:06.187 -> Temperature: 27.60 °C, Humidity: 62.00 %
21:37:08.249 -> Temperature: 27.10 °C, Humidity: 62.00 %
21:37:10.265 -> Temperature: 27.10 °C, Humidity: 62.00 %
21:37:12.281 -> Temperature: 27.10 °C, Humidity: 62.00 %
21:37:14.296 -> Temperature: 27.10 °C, Humidity: 62.00 %
21:37:16.313 -> Temperature: 27.10 °C, Humidity: 62.00 %
21:37:18.377 -> Temperature: 27.10 °C, Humidity: 62.00 %
21:37:20.393 -> Temperature: 26.70 °C, Humidity: 62.00 %
21:37:22.410 -> Temperature: 26.70 °C, Humidity: 62.00 %
21:37:24.437 -> Temperature: 26.70 °C, Humidity: 62.00 %
21:37:26.484 -> Temperature: 26.70 °C, Humidity: 62.00 %
21:37:28.490 -> Temperature: 26.70 °C, Humidity: 62.00 %
21:37:30.502 -> Temperature: 26.50 °C, Humidity: 63.00 %
21:37:32.556 -> Temperature: 26.20 °C, Humidity: 63.00 %
21:37:34.557 -> Temperature: 26.20 °C, Humidity: 63.00 %
21:37:36.586 -> Temperature: 26.20 °C, Humidity: 63.00 %
21:37:38.612 -> Temperature: 26.20 °C, Humidity: 63.00 %
21:37:40.661 -> Temperature: 26.20 °C, Humidity: 63.00 %
21:37:42.678 -> Temperature: 26.10 °C, Humidity: 63.00 %
21:37:44.683 -> Temperature: 25.80 °C, Humidity: 63.00 %
21:37:46.721 -> Temperature: 25.80 °C, Humidity: 63.00 %
21:37:48.740 -> Temperature: 25.80 °C, Humidity: 63.00 %
21:37:50.772 -> Temperature: 25.80 °C, Humidity: 64.00 %
21:37:52.801 -> Temperature: 25.80 °C, Humidity: 64.00 %
21:37:54.833 -> Temperature: 25.80 °C, Humidity: 64.00 %
21:37:56.847 -> Temperature: 25.30 °C, Humidity: 64.00 %
21:37:58.880 -> Temperature: 25.30 °C, Humidity: 64.00 %
21:38:00.895 -> Temperature: 25.30 °C, Humidity: 64.00 %
21:38:02.926 -> Temperature: 25.30 °C, Humidity: 64.00 %
21:38:04.943 -> Temperature: 25.30 °C, Humidity: 64.00 %
21:38:06.955 -> Temperature: 25.30 °C, Humidity: 64.00 %
21:38:09.004 -> Temperature: 25.30 °C, Humidity: 65.00 %
21:38:11.018 -> Temperature: 24.80 °C, Humidity: 65.00 %
21:38:13.039 -> Temperature: 24.80 °C, Humidity: 65.00 %
21:38:15.086 -> Temperature: 24.80 °C, Humidity: 65.00 %
21:38:17.094 -> Temperature: 24.80 °C, Humidity: 65.00 %
21:38:19.125 -> Temperature: 24.80 °C, Humidity: 65.00 %
21:38:21.141 -> Temperature: 24.80 °C, Humidity: 65.00 %
21:38:23.201 -> Temperature: 24.80 °C, Humidity: 66.00 %
21:38:25.182 -> Temperature: 24.50 °C, Humidity: 66.00 %
21:38:27.228 -> Temperature: 24.50 °C, Humidity: 66.00 %
21:38:29.270 -> Temperature: 24.50 °C, Humidity: 66.00 %
21:38:31.290 -> Temperature: 24.50 °C, Humidity: 66.00 %
21:38:33.311 -> Temperature: 24.50 °C, Humidity: 66.00 %
21:38:35.327 -> Temperature: 24.50 °C, Humidity: 67.00 %
21:38:37.352 -> Temperature: 24.50 °C, Humidity: 67.00 %
21:38:39.367 -> Temperature: 24.50 °C, Humidity: 67.00 %
21:38:41.385 -> Temperature: 24.20 °C, Humidity: 67.00 %
21:38:43.432 -> Temperature: 24.10 °C, Humidity: 67.00 %
21:38:45.477 -> Temperature: 24.10 °C, Humidity: 67.00 %
21:38:47.502 -> Temperature: 24.10 °C, Humidity: 67.00 %
21:38:49.523 -> Temperature: 24.10 °C, Humidity: 68.00 %
21:38:51.527 -> Temperature: 24.10 °C, Humidity: 68.00 %
21:38:53.542 -> Temperature: 24.10 °C, Humidity: 68.00 %
21:38:55.565 -> Temperature: 24.10 °C, Humidity: 68.00 %
21:38:57.589 -> Temperature: 24.10 °C, Humidity: 68.00 %
21:38:59.641 -> Temperature: 23.80 °C, Humidity: 68.00 %
21:39:01.641 -> Temperature: 23.80 °C, Humidity: 68.00 %
21:39:03.664 -> Temperature: 23.80 °C, Humidity: 68.00 %
21:39:05.734 -> Temperature: 23.80 °C, Humidity: 69.00 %
21:39:07.727 -> Temperature: 23.80 °C, Humidity: 69.00 %
21:39:09.745 -> Temperature: 23.80 °C, Humidity: 69.00 %
21:39:11.803 -> Temperature: 23.80 °C, Humidity: 69.00 %
21:39:13.823 -> Temperature: 23.80 °C, Humidity: 69.00 %
21:39:15.827 -> Temperature: 23.80 °C, Humidity: 69.00 %
21:39:17.853 -> Temperature: 23.80 °C, Humidity: 69.00 %
21:39:19.903 -> Temperature: 23.80 °C, Humidity: 69.00 %
21:39:21.921 -> Temperature: 23.40 °C, Humidity: 69.00 %
21:39:23.931 -> Temperature: 23.40 °C, Humidity: 69.00 %
21:39:25.943 -> Temperature: 23.40 °C, Humidity: 69.00 %
21:39:27.995 -> Temperature: 23.40 °C, Humidity: 69.00 %
21:39:30.033 -> Temperature: 23.40 °C, Humidity: 69.00 %
21:39:32.044 -> Temperature: 23.40 °C, Humidity: 69.00 %
21:39:34.079 -> Temperature: 23.40 °C, Humidity: 69.00 %
21:39:36.116 -> Temperature: 23.40 °C, Humidity: 69.00 %
21:39:38.111 -> Temperature: 23.40 °C, Humidity: 69.00 %
21:39:40.150 -> Temperature: 23.40 °C, Humidity: 69.00 %
21:39:42.167 -> Temperature: 23.40 °C, Humidity: 69.00 %
21:39:44.198 -> Temperature: 23.40 °C, Humidity: 70.00 %
21:39:46.224 -> Temperature: 23.00 °C, Humidity: 70.00 %
21:39:48.224 -> Temperature: 23.00 °C, Humidity: 70.00 %
21:39:50.271 -> Temperature: 23.00 °C, Humidity: 70.00 %
21:39:52.307 -> Temperature: 23.00 °C, Humidity: 70.00 %
21:39:54.339 -> Temperature: 23.00 °C, Humidity: 70.00 %
21:39:56.353 -> Temperature: 23.00 °C, Humidity: 70.00 %
21:39:58.397 -> Temperature: 23.00 °C, Humidity: 70.00 %
21:40:00.381 -> Temperature: 23.00 °C, Humidity: 70.00 %
21:40:02.424 -> Temperature: 23.00 °C, Humidity: 70.00 %
21:40:04.458 -> Temperature: 23.00 °C, Humidity: 70.00 %
21:40:06.480 -> Temperature: 23.00 °C, Humidity: 71.00 %
21:40:08.501 -> Temperature: 23.00 °C, Humidity: 71.00 %
21:40:10.523 -> Temperature: 23.00 °C, Humidity: 71.00 %
21:40:12.551 -> Temperature: 23.00 °C, Humidity: 71.00 %
21:40:14.570 -> Temperature: 23.00 °C, Humidity: 71.00 %
21:40:16.622 -> Temperature: 22.70 °C, Humidity: 71.00 %
21:40:18.627 -> Temperature: 22.60 °C, Humidity: 71.00 %
21:40:20.638 -> Temperature: 22.60 °C, Humidity: 71.00 %
21:40:22.678 -> Temperature: 22.60 °C, Humidity: 71.00 %
21:40:24.693 -> Temperature: 22.60 °C, Humidity: 71.00 %
21:40:26.721 -> Temperature: 22.60 °C, Humidity: 71.00 %
21:40:28.771 -> Temperature: 22.60 °C, Humidity: 71.00 %
21:40:30.797 -> Temperature: 22.60 °C, Humidity: 72.00 %
21:40:32.830 -> Temperature: 22.60 °C, Humidity: 72.00 %
21:40:34.836 -> Temperature: 22.60 °C, Humidity: 72.00 %
21:40:36.863 -> Temperature: 22.60 °C, Humidity: 72.00 %
21:40:38.894 -> Temperature: 22.60 °C, Humidity: 72.00 %
21:40:40.909 -> Temperature: 22.60 °C, Humidity: 72.00 %
21:40:42.951 -> Temperature: 22.60 °C, Humidity: 72.00 %
21:40:44.948 -> Temperature: 22.60 °C, Humidity: 72.00 %
21:40:46.968 -> Temperature: 22.60 °C, Humidity: 72.00 %
21:40:49.004 -> Temperature: 22.60 °C, Humidity: 72.00 %
21:40:51.016 -> Temperature: 22.60 °C, Humidity: 72.00 %
21:40:53.052 -> Temperature: 22.60 °C, Humidity: 72.00 %
21:40:55.103 -> Temperature: 22.60 °C, Humidity: 72.00 %
21:40:57.093 -> Temperature: 22.60 °C, Humidity: 73.00 %
21:40:59.122 -> Temperature: 22.60 °C, Humidity: 73.00 %
21:41:01.140 -> Temperature: 22.60 °C, Humidity: 73.00 %
21:41:03.180 -> Temperature: 22.60 °C, Humidity: 73.00 %
21:41:05.200 -> Temperature: 22.60 °C, Humidity: 73.00 %
21:41:07.234 -> Temperature: 22.60 °C, Humidity: 73.00 %
21:41:09.270 -> Temperature: 22.60 °C, Humidity: 73.00 %
21:41:11.315 -> Temperature: 22.60 °C, Humidity: 73.00 %
21:41:13.293 -> Temperature: 22.60 °C, Humidity: 73.00 %
21:41:15.338 -> Temperature: 22.60 °C, Humidity: 73.00 %
21:41:17.360 -> Temperature: 22.40 °C, Humidity: 73.00 %
21:41:19.417 -> Temperature: 22.30 °C, Humidity: 73.00 %
21:41:21.439 -> Temperature: 22.30 °C, Humidity: 73.00 %
21:41:23.428 -> Temperature: 22.20 °C, Humidity: 73.00 %
21:41:25.465 -> Temperature: 22.20 °C, Humidity: 73.00 %
21:41:27.496 -> Temperature: 22.20 °C, Humidity: 73.00 %
21:41:29.504 -> Temperature: 22.20 °C, Humidity: 73.00 %
21:41:31.529 -> Temperature: 22.20 °C, Humidity: 73.00 %
21:41:33.586 -> Temperature: 22.20 °C, Humidity: 73.00 %
21:41:35.606 -> Temperature: 22.20 °C, Humidity: 73.00 %
21:41:37.604 -> Temperature: 22.20 °C, Humidity: 73.00 %
21:41:39.671 -> Temperature: 22.20 °C, Humidity: 73.00 %
21:41:41.653 -> Temperature: 22.20 °C, Humidity: 73.00 %
21:41:43.684 -> Temperature: 22.20 °C, Humidity: 73.00 %
21:41:45.748 -> Temperature: 22.20 °C, Humidity: 73.00 %
21:41:47.738 -> Temperature: 22.20 °C, Humidity: 73.00 %
21:41:49.764 -> Temperature: 22.20 °C, Humidity: 73.00 %
21:41:51.807 -> Temperature: 22.20 °C, Humidity: 73.00 %
21:41:53.837 -> Temperature: 22.20 °C, Humidity: 73.00 %
21:41:55.859 -> Temperature: 22.20 °C, Humidity: 73.00 %
21:41:57.873 -> Temperature: 22.20 °C, Humidity: 73.00 %
21:41:59.913 -> Temperature: 22.20 °C, Humidity: 73.00 %
21:42:01.950 -> Temperature: 22.20 °C, Humidity: 73.00 %
21:42:03.947 -> Temperature: 22.20 °C, Humidity: 73.00 %
21:42:05.963 -> Temperature: 22.20 °C, Humidity: 73.00 %
21:42:07.993 -> Temperature: 22.20 °C, Humidity: 73.00 %
21:42:10.010 -> Temperature: 22.20 °C, Humidity: 73.00 %
21:42:12.073 -> Temperature: 22.20 °C, Humidity: 73.00 %
21:42:14.076 -> Temperature: 22.20 °C, Humidity: 73.00 %
21:42:16.093 -> Temperature: 22.20 °C, Humidity: 74.00 %
21:42:18.117 -> Temperature: 22.20 °C, Humidity: 74.00 %
21:42:20.182 -> Temperature: 22.20 °C, Humidity: 74.00 %
21:42:22.199 -> Temperature: 22.20 °C, Humidity: 74.00 %
21:42:24.221 -> Temperature: 22.20 °C, Humidity: 74.00 %
21:42:26.247 -> Temperature: 22.20 °C, Humidity: 74.00 %
21:42:28.265 -> Temperature: 22.20 °C, Humidity: 74.00 %
21:42:30.281 -> Temperature: 22.20 °C, Humidity: 74.00 %
21:42:32.300 -> Temperature: 22.20 °C, Humidity: 74.00 %
21:42:34.317 -> Temperature: 22.20 °C, Humidity: 74.00 %
21:42:36.380 -> Temperature: 22.20 °C, Humidity: 74.00 %
21:42:38.395 -> Temperature: 22.20 °C, Humidity: 74.00 %
21:42:40.413 -> Temperature: 22.20 °C, Humidity: 74.00 %
21:42:42.430 -> Temperature: 22.20 °C, Humidity: 74.00 %
21:42:44.449 -> Temperature: 22.20 °C, Humidity: 74.00 %
21:42:46.466 -> Temperature: 22.20 °C, Humidity: 74.00 %
